Overriding config with config/finetune_task_a.py:
# config/finetune_task_a.py

# system
device = 'cuda'   # FIX: was 'cpu'
compile = False

# I/O
out_dir = 'out/task_a'
eval_interval = 50
eval_iters = 40
always_save_checkpoint = False

# logging
wandb_log = False  # set to True if you want W&B
wandb_project = 'shakespeare_sft'
wandb_run_name = 'task_a_m100_finetune'
log_interval = 10

# data
dataset = 'task_a'
block_size = 256

# model — must match M_100 architecture
n_layer = 6
n_head = 6
n_embd = 384
bias = False
vocab_size = 65

# init from M_100 checkpoint
init_from = 'resume'
dropout = 0.1

# training
max_iters = 2000
iter_num = 0
learning_rate = 5e-5
decay_lr = False
min_lr = 5e-5
batch_size = 32
gradient_accumulation_steps = 1

# optimizer
weight_decay = 1e-1
beta1 = 0.9
beta2 = 0.95
grad_clip = 1.0
dtype = 'float16'

tokens per iteration will be: 8,192
found vocab_size = 62 (inside data/task_a/meta.pkl)
Resuming training from out/task_a
number of parameters: 10.65M
/teamspace/studios/this_studio/advanced-nlp-assignment-group6/train.py:216: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
iter 1250: loss 0.4227, time 1375.80ms, mfu 2.81%
iter 1260: loss 0.3950, time 50.94ms, mfu 2.90%
iter 1270: loss 0.4069, time 51.03ms, mfu 2.97%
iter 1280: loss 0.3933, time 50.40ms, mfu 3.05%
iter 1290: loss 0.3906, time 50.87ms, mfu 3.11%
step 1300: train loss 0.1391, val loss 1.9484
iter 1300: loss 0.3692, time 1388.96ms, mfu 2.81%
iter 1310: loss 0.3725, time 50.98ms, mfu 2.89%
iter 1320: loss 0.3750, time 51.10ms, mfu 2.97%
iter 1330: loss 0.3326, time 50.73ms, mfu 3.04%
iter 1340: loss 0.3483, time 50.42ms, mfu 3.11%
step 1350: train loss 0.1285, val loss 1.9533
iter 1350: loss 0.3365, time 1381.97ms, mfu 2.81%
iter 1360: loss 0.3373, time 51.05ms, mfu 2.89%
iter 1370: loss 0.3451, time 50.92ms, mfu 2.97%
iter 1380: loss 0.3292, time 50.29ms, mfu 3.04%
iter 1390: loss 0.3324, time 50.89ms, mfu 3.10%
step 1400: train loss 0.1191, val loss 2.0036
iter 1400: loss 0.3364, time 1382.94ms, mfu 2.81%
iter 1410: loss 0.3136, time 50.42ms, mfu 2.90%
iter 1420: loss 0.3168, time 50.73ms, mfu 2.97%
iter 1430: loss 0.3234, time 51.35ms, mfu 3.04%
iter 1440: loss 0.3073, time 50.33ms, mfu 3.11%
step 1450: train loss 0.1122, val loss 2.0208
iter 1450: loss 0.3197, time 1384.81ms, mfu 2.81%
iter 1460: loss 0.3090, time 50.85ms, mfu 2.89%
iter 1470: loss 0.3056, time 50.15ms, mfu 2.98%
iter 1480: loss 0.3131, time 50.41ms, mfu 3.05%
iter 1490: loss 0.3025, time 50.46ms, mfu 3.11%
step 1500: train loss 0.1028, val loss 2.0819
iter 1500: loss 0.2830, time 1386.64ms, mfu 2.81%
iter 1510: loss 0.2827, time 50.38ms, mfu 2.90%
iter 1520: loss 0.3102, time 51.08ms, mfu 2.98%
iter 1530: loss 0.2908, time 51.12ms, mfu 3.04%
iter 1540: loss 0.2721, time 50.58ms, mfu 3.11%
step 1550: train loss 0.0991, val loss 2.0720
iter 1550: loss 0.2541, time 1383.90ms, mfu 2.81%
iter 1560: loss 0.2815, time 51.29ms, mfu 2.89%
iter 1570: loss 0.2751, time 51.45ms, mfu 2.97%
iter 1580: loss 0.2646, time 51.50ms, mfu 3.03%
iter 1590: loss 0.2662, time 50.60ms, mfu 3.10%
step 1600: train loss 0.0918, val loss 2.1088
iter 1600: loss 0.2584, time 1386.58ms, mfu 2.80%
iter 1610: loss 0.2669, time 50.95ms, mfu 2.89%
iter 1620: loss 0.2674, time 50.45ms, mfu 2.97%
iter 1630: loss 0.2725, time 51.21ms, mfu 3.03%
iter 1640: loss 0.2440, time 51.35ms, mfu 3.09%
step 1650: train loss 0.0872, val loss 2.1451
iter 1650: loss 0.2402, time 1385.25ms, mfu 2.80%
iter 1660: loss 0.2393, time 50.66ms, mfu 2.89%
iter 1670: loss 0.2388, time 50.88ms, mfu 2.96%
iter 1680: loss 0.2484, time 51.00ms, mfu 3.03%
iter 1690: loss 0.2408, time 51.26ms, mfu 3.09%
step 1700: train loss 0.0833, val loss 2.1546
iter 1700: loss 0.2473, time 1389.57ms, mfu 2.80%
iter 1710: loss 0.2415, time 50.20ms, mfu 2.89%
